label,dataset_path,source_dir,source_path,source_name,score,crop_width,crop_height,bbox_x1,bbox_y1,bbox_x2,bbox_y2,original_crop_path
negative,face_dataset/data/negative/vk_user_photos/2617/face_1.jpg,vk_user_photos/2617,vk_user_photos/2617/avatar.jpg,avatar.jpg,0.855405807,277,287,401,857,678,1144,vk_face_scores/crops/vk_user_photos__2617__avatar__face_00__score_0.8554.jpg
negative,face_dataset/data/negative/vk_user_photos/2617/face_2.jpg,vk_user_photos/2617,vk_user_photos/2617/previous_avatar.jpg,previous_avatar.jpg,0.930278420,234,325,336,279,570,604,vk_face_scores/crops/vk_user_photos__2617__previous_avatar__face_00__score_0.9303.jpg
negative,face_dataset/data/negative/vk_user_photos/4574/face_1.jpg,vk_user_photos/4574,vk_user_photos/4574/avatar.jpg,avatar.jpg,0.920084119,422,568,75,0,497,568,vk_face_scores/crops/vk_user_photos__4574__avatar__face_00__score_0.9201.jpg
negative,face_dataset/data/negative/vk_user_photos/68927/face_1.jpg,vk_user_photos/68927,vk_user_photos/68927/avatar.jpg,avatar.jpg,0.800929904,719,863,77,93,796,956,vk_face_scores/crops/vk_user_photos__68927__avatar__face_00__score_0.8009.jpg
negative,face_dataset/data/negative/vk_user_photos/68927/face_2.jpg,vk_user_photos/68927,vk_user_photos/68927/previous_avatar.jpg,previous_avatar.jpg,0.673973024,216,298,601,776,817,1074,vk_face_scores/crops/vk_user_photos__68927__previous_avatar__face_00__score_0.6740.jpg
negative,face_dataset/data/negative/vk_user_photos/76348/face_1.jpg,vk_user_photos/76348,vk_user_photos/76348/avatar.jpg,avatar.jpg,0.888346732,537,645,158,0,695,645,vk_face_scores/crops/vk_user_photos__76348__avatar__face_00__score_0.8883.jpg
negative,face_dataset/data/negative/vk_user_photos/76348/face_2.jpg,vk_user_photos/76348,vk_user_photos/76348/previous_avatar.jpg,previous_avatar.jpg,0.804667294,636,730,0,0,636,730,vk_face_scores/crops/vk_user_photos__76348__previous_avatar__face_00__score_0.8047.jpg
negative,face_dataset/data/negative/vk_user_photos/294577/face_1.jpg,vk_user_photos/294577,vk_user_photos/294577/avatar.jpg,avatar.jpg,0.932139933,341,475,300,111,641,586,vk_face_scores/crops/vk_user_photos__294577__avatar__face_00__score_0.9321.jpg
negative,face_dataset/data/negative/vk_user_photos/294577/face_2.jpg,vk_user_photos/294577,vk_user_photos/294577/previous_avatar.jpg,previous_avatar.jpg,0.871581912,416,583,831,98,1247,681,vk_face_scores/crops/vk_user_photos__294577__previous_avatar__face_00__score_0.8716.jpg
negative,face_dataset/data/negative/vk_user_photos/455457/face_1.jpg,vk_user_photos/455457,vk_user_photos/455457/avatar.jpg,avatar.jpg,0.926130414,168,240,402,455,570,695,vk_face_scores/crops/vk_user_photos__455457__avatar__face_00__score_0.9261.jpg
negative,face_dataset/data/negative/vk_user_photos/455457/face_2.jpg,vk_user_photos/455457,vk_user_photos/455457/previous_avatar.jpg,previous_avatar.jpg,0.913122892,254,341,168,439,422,780,vk_face_scores/crops/vk_user_photos__455457__previous_avatar__face_00__score_0.9131.jpg
negative,face_dataset/data/negative/vk_user_photos/476161/face_1.jpg,vk_user_photos/476161,vk_user_photos/476161/avatar.jpg,avatar.jpg,0.934601903,488,601,854,171,1342,772,vk_face_scores/crops/vk_user_photos__476161__avatar__face_00__score_0.9346.jpg
negative,face_dataset/data/negative/vk_user_photos/476161/face_2.jpg,vk_user_photos/476161,vk_user_photos/476161/previous_avatar.jpg,previous_avatar.jpg,0.931911170,472,616,299,18,771,634,vk_face_scores/crops/vk_user_photos__476161__previous_avatar__face_00__score_0.9319.jpg
negative,face_dataset/data/negative/vk_user_photos/1433342/face_1.jpg,vk_user_photos/1433342,vk_user_photos/1433342/avatar.jpg,avatar.jpg,0.854694188,650,747,661,160,1311,907,vk_face_scores/crops/vk_user_photos__1433342__avatar__face_00__score_0.8547.jpg
negative,face_dataset/data/negative/vk_user_photos/1720126/face_1.jpg,vk_user_photos/1720126,vk_user_photos/1720126/avatar.jpg,avatar.jpg,0.689426720,457,474,209,214,666,688,vk_face_scores/crops/vk_user_photos__1720126__avatar__face_00__score_0.6894.jpg
negative,face_dataset/data/negative/vk_user_photos/1720126/face_2.jpg,vk_user_photos/1720126,vk_user_photos/1720126/previous_avatar.jpg,previous_avatar.jpg,0.910016000,374,465,225,0,599,465,vk_face_scores/crops/vk_user_photos__1720126__previous_avatar__face_00__score_0.9100.jpg
negative,face_dataset/data/negative/vk_user_photos/2183659/face_1.jpg,vk_user_photos/2183659,vk_user_photos/2183659/avatar.jpg,avatar.jpg,0.943217874,394,572,381,309,775,881,vk_face_scores/crops/vk_user_photos__2183659__avatar__face_00__score_0.9432.jpg
negative,face_dataset/data/negative/vk_user_photos/2183659/face_2.jpg,vk_user_photos/2183659,vk_user_photos/2183659/previous_avatar.jpg,previous_avatar.jpg,0.892620683,578,808,430,177,1008,985,vk_face_scores/crops/vk_user_photos__2183659__previous_avatar__face_00__score_0.8926.jpg
negative,face_dataset/data/negative/vk_user_photos/2808153/face_1.jpg,vk_user_photos/2808153,vk_user_photos/2808153/avatar.jpg,avatar.jpg,0.947438002,326,420,914,977,1240,1397,vk_face_scores/crops/vk_user_photos__2808153__avatar__face_00__score_0.9474.jpg
negative,face_dataset/data/negative/vk_user_photos/2808153/face_2.jpg,vk_user_photos/2808153,vk_user_photos/2808153/previous_avatar.jpg,previous_avatar.jpg,0.949809015,169,217,447,481,616,698,vk_face_scores/crops/vk_user_photos__2808153__previous_avatar__face_00__score_0.9498.jpg
negative,face_dataset/data/negative/vk_user_photos/2881826/face_1.jpg,vk_user_photos/2881826,vk_user_photos/2881826/avatar.jpg,avatar.jpg,0.910803258,289,394,434,115,723,509,vk_face_scores/crops/vk_user_photos__2881826__avatar__face_00__score_0.9108.jpg
negative,face_dataset/data/negative/vk_user_photos/2881826/face_2.jpg,vk_user_photos/2881826,vk_user_photos/2881826/previous_avatar.jpg,previous_avatar.jpg,0.858504176,108,163,1142,1070,1250,1233,vk_face_scores/crops/vk_user_photos__2881826__previous_avatar__face_00__score_0.8585.jpg
negative,face_dataset/data/negative/vk_user_photos/4147009/face_1.jpg,vk_user_photos/4147009,vk_user_photos/4147009/avatar.jpg,avatar.jpg,0.919459045,372,486,1061,332,1433,818,vk_face_scores/crops/vk_user_photos__4147009__avatar__face_00__score_0.9195.jpg
negative,face_dataset/data/negative/vk_user_photos/4147009/face_2.jpg,vk_user_photos/4147009,vk_user_photos/4147009/previous_avatar.jpg,previous_avatar.jpg,0.888825774,560,667,289,99,849,766,vk_face_scores/crops/vk_user_photos__4147009__previous_avatar__face_00__score_0.8888.jpg
negative,face_dataset/data/negative/vk_user_photos/4887623/face_1.jpg,vk_user_photos/4887623,vk_user_photos/4887623/avatar.jpg,avatar.jpg,0.747673094,718,927,910,228,1628,1155,vk_face_scores/crops/vk_user_photos__4887623__avatar__face_00__score_0.7477.jpg
negative,face_dataset/data/negative/vk_user_photos/4887623/face_2.jpg,vk_user_photos/4887623,vk_user_photos/4887623/previous_avatar.jpg,previous_avatar.jpg,0.943688691,173,237,457,79,630,316,vk_face_scores/crops/vk_user_photos__4887623__previous_avatar__face_00__score_0.9437.jpg
