label,dataset_path,source_dir,source_path,source_name,score,crop_width,crop_height,bbox_x1,bbox_y1,bbox_x2,bbox_y2,original_crop_path
positive,face_dataset/data/positive/akykla/aleksa/face_1.jpg,data/akykla/aleksa,data/akykla/aleksa/121429.jpg,121429.jpg,0.819027007,115,112,190,147,305,259,face_scores/crops/data__akykla__aleksa__121429__face_00__score_0.8190.jpg
positive,face_dataset/data/positive/akykla/aleksa/face_2.jpg,data/akykla/aleksa,data/akykla/aleksa/133392.jpg,133392.jpg,0.890767395,157,169,186,141,343,310,face_scores/crops/data__akykla__aleksa__133392__face_00__score_0.8908.jpg
positive,face_dataset/data/positive/akykla/aleksa/face_3.jpg,data/akykla/aleksa,data/akykla/aleksa/260162.jpg,260162.jpg,0.936985135,154,193,291,131,445,324,face_scores/crops/data__akykla__aleksa__260162__face_00__score_0.9370.jpg
positive,face_dataset/data/positive/akykla/aleksa/face_4.jpg,data/akykla/aleksa,data/akykla/aleksa/284881.jpg,284881.jpg,0.930740058,149,191,252,85,401,276,face_scores/crops/data__akykla__aleksa__284881__face_00__score_0.9307.jpg
positive,face_dataset/data/positive/akykla/aleksa/face_5.jpg,data/akykla/aleksa,data/akykla/aleksa/339325.jpg,339325.jpg,0.745010972,135,159,182,162,317,321,face_scores/crops/data__akykla__aleksa__339325__face_00__score_0.7450.jpg
positive,face_dataset/data/positive/akykla/aleksa/face_6.jpg,data/akykla/aleksa,data/akykla/aleksa/361755.jpg,361755.jpg,0.927787602,144,205,193,85,337,290,face_scores/crops/data__akykla__aleksa__361755__face_00__score_0.9278.jpg
positive,face_dataset/data/positive/akykla/aleksa/face_7.jpg,data/akykla/aleksa,data/akykla/aleksa/3784.jpg,3784.jpg,0.922874451,131,168,177,162,308,330,face_scores/crops/data__akykla__aleksa__3784__face_00__score_0.9229.jpg
positive,face_dataset/data/positive/akykla/aleksa/face_8.jpg,data/akykla/aleksa,data/akykla/aleksa/41290.jpg,41290.jpg,0.939711869,118,168,178,154,296,322,face_scores/crops/data__akykla__aleksa__41290__face_00__score_0.9397.jpg
positive,face_dataset/data/positive/akykla/aleksa/face_9.jpg,data/akykla/aleksa,data/akykla/aleksa/494629.jpg,494629.jpg,0.909981728,131,186,212,100,343,286,face_scores/crops/data__akykla__aleksa__494629__face_00__score_0.9100.jpg
positive,face_dataset/data/positive/akykla/aleksa/face_10.jpg,data/akykla/aleksa,data/akykla/aleksa/539581.jpg,539581.jpg,0.911557138,87,121,287,79,374,200,face_scores/crops/data__akykla__aleksa__539581__face_00__score_0.9116.jpg
positive,face_dataset/data/positive/akykla/aleksa/face_11.jpg,data/akykla/aleksa,data/akykla/aleksa/550476.jpg,550476.jpg,0.921360373,88,117,264,58,352,175,face_scores/crops/data__akykla__aleksa__550476__face_00__score_0.9214.jpg
