label,dataset_path,source_dir,source_path,source_name,score,crop_width,crop_height,bbox_x1,bbox_y1,bbox_x2,bbox_y2,original_crop_path,split_group_key,dataset_weight
artem,face_dataset_png/data/artem/us/artem/face_1.png,us/artem,us/artem/IMG_1479.JPG,IMG_1479.JPG,0.924631476,157,227,386,495,543,722,,us/artem/IMG_1479,5.0
artem,face_dataset_png/data/artem/us/artem/face_2.png,us/artem,us/artem/IMG_1480.JPG,IMG_1480.JPG,0.919322789,297,404,229,369,526,773,,us/artem/IMG_1480,5.0
artem,face_dataset_png/data/artem/us/artem/face_3.png,us/artem,us/artem/IMG_1481.jpg,IMG_1481.jpg,0.954570174,360,448,56,104,416,552,,us/artem/IMG_1481,5.0
artem,face_dataset_png/data/artem/us/artem/face_4.png,us/artem,us/artem/IMG_1482.jpg,IMG_1482.jpg,0.922096610,279,330,157,201,436,531,,us/artem/IMG_1482,5.0
artem,face_dataset_png/data/artem/us/artem/face_5.png,us/artem,us/artem/IMG_1483.jpg,IMG_1483.jpg,0.936186850,214,284,333,144,547,428,,us/artem/IMG_1483,5.0
artem,face_dataset_png/data/artem/us/artem/face_6.png,us/artem,us/artem/IMG_1484.JPG,IMG_1484.JPG,0.937138915,285,406,288,381,573,787,,us/artem/IMG_1484,5.0
artem,face_dataset_png/data/artem/us/artem/face_7.png,us/artem,us/artem/IMG_1485.jpg,IMG_1485.jpg,0.942663252,303,432,48,35,351,467,,us/artem/IMG_1485,5.0
artem,face_dataset_png/data/artem/us/artem/face_8.png,us/artem,us/artem/IMG_1486.jpg,IMG_1486.jpg,0.940197766,133,173,29,50,162,223,,us/artem/IMG_1486,5.0
artem,face_dataset_png/data/artem/us/artem/face_9.png,us/artem,us/artem/IMG_1487.jpg,IMG_1487.jpg,0.922369897,113,146,194,216,307,362,,us/artem/IMG_1487,5.0
artem,face_dataset_png/data/artem/us/artem/face_10.png,us/artem,us/artem/IMG_1488.JPG,IMG_1488.JPG,0.924578428,192,261,509,144,701,405,,us/artem/IMG_1488,5.0
artem,face_dataset_png/data/artem/us/artem/face_11.png,us/artem,us/artem/IMG_1489.JPG,IMG_1489.JPG,0.916664541,233,285,334,199,567,484,,us/artem/IMG_1489,5.0
artem,face_dataset_png/data/artem/us/artem/face_12.png,us/artem,us/artem/IMG_1490.jpg,IMG_1490.jpg,0.951428056,245,324,32,0,277,324,,us/artem/IMG_1490,5.0
artem,face_dataset_png/data/artem/us/artem/face_13.png,us/artem,us/artem/IMG_1491.jpg,IMG_1491.jpg,0.904535651,150,174,49,97,199,271,,us/artem/IMG_1491,5.0
artem,face_dataset_png/data/artem/us/artem/face_14.png,us/artem,us/artem/IMG_1492.jpg,IMG_1492.jpg,0.942918420,168,205,14,30,182,235,,us/artem/IMG_1492,5.0
artem,face_dataset_png/data/artem/us/artem/face_15.png,us/artem,us/artem/IMG_1493.jpg,IMG_1493.jpg,0.940669060,178,221,35,62,213,283,,us/artem/IMG_1493,5.0
artem,face_dataset_png/data/artem/us/artem/face_16.png,us/artem,us/artem/IMG_1494.heic,IMG_1494.heic,0.900188744,827,1116,134,324,961,1440,,us/artem/IMG_1494,5.0
artem,face_dataset_png/data/artem/us/artem/face_17.png,us/artem,us/artem/IMG_1495.HEIC,IMG_1495.HEIC,0.930027187,2038,2878,102,1536,2140,4414,,us/artem/IMG_1495,5.0
artem,face_dataset_png/data/artem/us/artem/face_18.png,us/artem,us/artem/IMG_1496.HEIC,IMG_1496.HEIC,0.922218800,956,1457,1769,1533,2725,2990,,us/artem/IMG_1496,5.0
artem,face_dataset_png/data/artem/us/artem/face_19.png,us/artem,us/artem/IMG_1497.HEIC,IMG_1497.HEIC,0.928086638,1030,1350,2381,1229,3411,2579,,us/artem/IMG_1497,5.0
artem,face_dataset_png/data/artem/us/artem/face_20.png,us/artem,us/artem/IMG_1498.HEIC,IMG_1498.HEIC,0.947241843,707,938,2186,1488,2893,2426,,us/artem/IMG_1498,5.0
artem,face_dataset_png/data/artem/us/artem/face_21.png,us/artem,us/artem/IMG_1499.heic,IMG_1499.heic,0.879247427,1179,1476,111,332,1290,1808,,us/artem/IMG_1499,5.0
artem,face_dataset_png/data/artem/us/artem/face_22.png,us/artem,us/artem/IMG_1500.HEIC,IMG_1500.HEIC,0.937035680,744,1104,1295,1334,2039,2438,,us/artem/IMG_1500,5.0
artem,face_dataset_png/data/artem/us/artem/face_23.png,us/artem,us/artem/IMG_1501.heic,IMG_1501.heic,0.942874670,282,410,47,74,329,484,,us/artem/IMG_1501,5.0
artem,face_dataset_png/data/artem/us/artem/face_24.png,us/artem,us/artem/IMG_1503.HEIC,IMG_1503.HEIC,0.914202631,410,519,1816,775,2226,1294,,us/artem/IMG_1503,5.0
artem,face_dataset_png/data/artem/us/artem/face_25.png,us/artem,us/artem/IMG_1504.HEIC,IMG_1504.HEIC,0.918818712,390,552,1732,684,2122,1236,,us/artem/IMG_1504,5.0
artem,face_dataset_png/data/artem/us/artem/face_26.png,us/artem,us/artem/IMG_1505.HEIC,IMG_1505.HEIC,0.926654637,915,1281,1617,880,2532,2161,,us/artem/IMG_1505,5.0
artem,face_dataset_png/data/artem/us/artem/face_27.png,us/artem,us/artem/IMG_1506.heic,IMG_1506.heic,0.947885513,512,617,216,242,728,859,,us/artem/IMG_1506,5.0
