label,dataset_path,source_dir,source_path,source_name,score,crop_width,crop_height,bbox_x1,bbox_y1,bbox_x2,bbox_y2,original_crop_path,split_group_key,dataset_weight
positive,face_dataset_png/data/positive/akykla/aleksa/face_1.png,akykla/aleksa,akykla/aleksa/121429.jpg,121429.jpg,0.819027185,115,112,190,147,305,259,,akykla/aleksa,1.0
positive,face_dataset_png/data/positive/akykla/aleksa/face_2.png,akykla/aleksa,akykla/aleksa/133392.jpg,133392.jpg,0.890767336,157,169,186,141,343,310,,akykla/aleksa,1.0
positive,face_dataset_png/data/positive/akykla/aleksa/face_3.png,akykla/aleksa,akykla/aleksa/260162.jpg,260162.jpg,0.936985135,154,193,291,131,445,324,,akykla/aleksa,1.0
positive,face_dataset_png/data/positive/akykla/aleksa/face_4.png,akykla/aleksa,akykla/aleksa/284881.jpg,284881.jpg,0.930740058,149,191,252,85,401,276,,akykla/aleksa,1.0
positive,face_dataset_png/data/positive/akykla/aleksa/face_5.png,akykla/aleksa,akykla/aleksa/339325.jpg,339325.jpg,0.745010853,135,159,182,162,317,321,,akykla/aleksa,1.0
positive,face_dataset_png/data/positive/akykla/aleksa/face_6.png,akykla/aleksa,akykla/aleksa/361755.jpg,361755.jpg,0.927787602,144,205,193,85,337,290,,akykla/aleksa,1.0
positive,face_dataset_png/data/positive/akykla/aleksa/face_7.png,akykla/aleksa,akykla/aleksa/3784.jpg,3784.jpg,0.922874391,131,168,177,162,308,330,,akykla/aleksa,1.0
positive,face_dataset_png/data/positive/akykla/aleksa/face_8.png,akykla/aleksa,akykla/aleksa/41290.jpg,41290.jpg,0.939711869,118,168,178,154,296,322,,akykla/aleksa,1.0
positive,face_dataset_png/data/positive/akykla/aleksa/face_9.png,akykla/aleksa,akykla/aleksa/494629.jpg,494629.jpg,0.909981549,131,186,212,100,343,286,,akykla/aleksa,1.0
positive,face_dataset_png/data/positive/akykla/aleksa/face_10.png,akykla/aleksa,akykla/aleksa/539581.jpg,539581.jpg,0.911557198,87,121,287,79,374,200,,akykla/aleksa,1.0
