id,in_users,in_profiles,in_catalog_users,users_count,profiles_count,catalog_users_count
2617,no,yes,yes,0,1,1
4574,no,yes,yes,0,1,1
68927,no,yes,yes,0,1,1
76348,no,yes,yes,0,1,1
294577,no,yes,yes,0,1,1
373170,no,yes,yes,0,1,1
455457,no,yes,yes,0,1,1
476161,no,yes,yes,0,1,1
1433342,no,yes,yes,0,1,1
1720126,no,yes,yes,0,2,2
2183659,no,yes,yes,0,1,1
2757791,no,yes,yes,0,1,1
2808153,no,yes,yes,0,1,1
2881826,no,yes,yes,0,1,1
4147009,no,yes,yes,0,1,1
4887623,no,yes,yes,0,1,1
5060661,no,yes,yes,0,1,1
5400263,no,yes,yes,0,1,1
5592362,no,yes,yes,0,1,1
6076624,no,yes,yes,0,1,1
6437474,no,yes,yes,0,1,1
6506792,no,yes,yes,0,1,1
6627223,no,yes,yes,0,1,1
6644683,no,yes,yes,0,1,1
7147638,no,yes,yes,0,1,1
7148238,no,yes,yes,0,2,2
7466442,no,yes,yes,0,1,1
8089547,no,yes,yes,0,1,1
8729884,no,yes,yes,0,1,1
9297827,no,yes,yes,0,1,1
9597899,no,yes,yes,0,1,1
9625433,no,yes,yes,0,1,1
10575203,no,yes,yes,0,1,1
10653558,no,yes,yes,0,1,1
10963895,no,yes,yes,0,1,1
11176561,no,yes,yes,0,1,1
11344503,no,yes,yes,0,1,1
13017918,no,yes,yes,0,1,1
13094642,no,yes,yes,0,1,1
13397022,no,yes,yes,0,1,1
13563299,no,yes,yes,0,1,1
13652931,no,yes,yes,0,1,1
14477924,no,yes,yes,0,2,2
14507196,no,yes,yes,0,1,1
16409252,no,yes,yes,0,1,1
16521271,no,yes,yes,0,1,1
16722703,no,yes,yes,0,1,1
17176288,no,yes,yes,0,1,1
17377690,no,yes,yes,0,1,1
17474311,no,yes,yes,0,1,1
18216993,no,yes,yes,0,1,1
18573994,no,yes,yes,0,1,1
19208798,no,yes,yes,0,1,1
19846384,no,yes,yes,0,1,1
20386334,no,yes,yes,0,1,1
20453322,no,yes,yes,0,1,1
20720185,no,yes,yes,0,1,1
21343614,no,yes,yes,0,1,1
22486789,no,yes,yes,0,1,1
22505982,no,yes,yes,0,1,1
22757430,no,yes,yes,0,1,1
