rank,score,source_path,source_dir,source_name,face_index,bbox_x1,bbox_y1,bbox_x2,bbox_y2,crop_width,crop_height,size_bucket,image_width,image_height,crop_path
1,0.1714465171098709,data/luxty_escort/group_066/g066_p3_photo_198@04-05-2026_21-36-47.jpg,data/luxty_escort/group_066,g066_p3_photo_198@04-05-2026_21-36-47.jpg,0,678,291,705,322,27,31,below_48,744,1280,face_scores/crops/data__luxty_escort__group_066__g066_p3_photo_198@04-05-2026_21-36-47__face_00__score_0.1714.jpg
2,0.19030050933361053,data/akykla/elena/538574.jpg,data/akykla/elena,538574.jpg,0,268,566,286,589,18,23,below_48,532,800,face_scores/crops/data__akykla__elena__538574__face_00__score_0.1903.jpg
3,0.19559969007968903,data/luxty_escort/group_184/g184_p3_photo_552@04-05-2026_21-42-17.jpg,data/luxty_escort/group_184,g184_p3_photo_552@04-05-2026_21-42-17.jpg,0,724,336,759,377,35,41,below_48,960,1280,face_scores/crops/data__luxty_escort__group_184__g184_p3_photo_552@04-05-2026_21-42-17__face_00__score_0.1956.jpg
4,0.19675025343894958,data/akykla/aleksa/315674.jpg,data/akykla/aleksa,315674.jpg,0,564,104,596,147,32,43,below_48,800,533,face_scores/crops/data__akykla__aleksa__315674__face_00__score_0.1968.jpg
5,0.2255181223154068,data/akykla/leona/891236.jpg,data/akykla/leona,891236.jpg,0,210,237,232,267,22,30,below_48,557,800,face_scores/crops/data__akykla__leona__891236__face_00__score_0.2255.jpg
6,0.269256591796875,data/luxty_escort/group_165/g165_p3_photo_495@04-05-2026_21-41-08.jpg,data/luxty_escort/group_165,g165_p3_photo_495@04-05-2026_21-41-08.jpg,0,12,808,38,843,26,35,below_48,715,1161,face_scores/crops/data__luxty_escort__group_165__g165_p3_photo_495@04-05-2026_21-41-08__face_00__score_0.2693.jpg
7,0.37801113724708557,data/luxty_escort/group_022/g022_p2_photo_65@04-05-2026_21-34-48.jpg,data/luxty_escort/group_022,g022_p2_photo_65@04-05-2026_21-34-48.jpg,0,519,225,547,263,28,38,below_48,720,1280,face_scores/crops/data__luxty_escort__group_022__g022_p2_photo_65@04-05-2026_21-34-48__face_00__score_0.3780.jpg
8,0.3811921775341034,data/luxty_escort/group_070/g070_p3_photo_210@04-05-2026_21-38-31.jpg,data/luxty_escort/group_070,g070_p3_photo_210@04-05-2026_21-38-31.jpg,0,605,389,645,439,40,50,below_48,772,1264,face_scores/crops/data__luxty_escort__group_070__g070_p3_photo_210@04-05-2026_21-38-31__face_00__score_0.3812.jpg
9,0.47264665365219116,data/akykla/lana/784424.jpg,data/akykla/lana,784424.jpg,0,110,302,148,345,38,43,below_48,800,533,face_scores/crops/data__akykla__lana__784424__face_00__score_0.4726.jpg
10,0.8813150525093079,data/akykla/elena/515869.jpg,data/akykla/elena,515869.jpg,0,325,428,355,465,30,37,below_48,532,800,face_scores/crops/data__akykla__elena__515869__face_00__score_0.8813.jpg
11,0.9060702919960022,data/akykla/elena/293426.jpg,data/akykla/elena,293426.jpg,0,570,246,604,291,34,45,below_48,800,533,face_scores/crops/data__akykla__elena__293426__face_00__score_0.9061.jpg
12,0.9174521565437317,data/inter-escort/22/rkl46qaqdjwwkdvijcusj10ypbgmh0r6.jpg,data/inter-escort/22,rkl46qaqdjwwkdvijcusj10ypbgmh0r6.jpg,0,1014,439,1054,490,40,51,below_48,1243,1480,face_scores/crops/data__inter-escort__22__rkl46qaqdjwwkdvijcusj10ypbgmh0r6__face_00__score_0.9175.jpg
13,0.9516575932502747,data/akykla/anastasiya/957734.jpg,data/akykla/anastasiya,957734.jpg,0,474,150,514,203,40,53,below_48,800,532,face_scores/crops/data__akykla__anastasiya__957734__face_00__score_0.9517.jpg
