rank,score,source_path,source_dir,source_name,face_index,bbox_x1,bbox_y1,bbox_x2,bbox_y2,crop_width,crop_height,size_bucket,image_width,image_height,crop_path
1,0.10158011317253113,data/luxty_escort/group_214/g214_p3_photo_642@04-05-2026_21-43-11.jpg,data/luxty_escort/group_214,g214_p3_photo_642@04-05-2026_21-43-11.jpg,0,324,874,594,1253,270,379,at_least_48,960,1280,face_scores/crops/data__luxty_escort__group_214__g214_p3_photo_642@04-05-2026_21-43-11__face_00__score_0.1016.jpg
2,0.12130122631788254,data/luxty_escort/group_146/g146_p3_photo_438@04-05-2026_21-41-07.jpg,data/luxty_escort/group_146,g146_p3_photo_438@04-05-2026_21-41-07.jpg,0,209,280,533,665,324,385,at_least_48,1200,800,face_scores/crops/data__luxty_escort__group_146__g146_p3_photo_438@04-05-2026_21-41-07__face_00__score_0.1213.jpg
3,0.13643519580364227,data/luxty_escort/group_134/g134_p3_photo_402@04-05-2026_21-41-06.jpg,data/luxty_escort/group_134,g134_p3_photo_402@04-05-2026_21-41-06.jpg,0,261,0,753,863,492,863,at_least_48,753,1280,face_scores/crops/data__luxty_escort__group_134__g134_p3_photo_402@04-05-2026_21-41-06__face_00__score_0.1364.jpg
4,0.13990940153598785,data/luxty_escort/group_217/g217_p3_photo_651@04-05-2026_21-43-11.jpg,data/luxty_escort/group_217,g217_p3_photo_651@04-05-2026_21-43-11.jpg,0,0,538,792,1280,792,742,at_least_48,960,1280,face_scores/crops/data__luxty_escort__group_217__g217_p3_photo_651@04-05-2026_21-43-11__face_00__score_0.1399.jpg
5,0.1434331238269806,data/luxty_escort/group_154/g154_p3_photo_462@04-05-2026_21-41-07.jpg,data/luxty_escort/group_154,g154_p3_photo_462@04-05-2026_21-41-07.jpg,0,352,344,487,533,135,189,at_least_48,781,1182,face_scores/crops/data__luxty_escort__group_154__g154_p3_photo_462@04-05-2026_21-41-07__face_00__score_0.1434.jpg
6,0.1438571959733963,data/luxty_escort/group_098/g098_p2_photo_293@04-05-2026_21-38-32.jpg,data/luxty_escort/group_098,g098_p2_photo_293@04-05-2026_21-38-32.jpg,0,0,0,596,664,596,664,at_least_48,720,1280,face_scores/crops/data__luxty_escort__group_098__g098_p2_photo_293@04-05-2026_21-38-32__face_00__score_0.1439.jpg
7,0.15347158908843994,data/akykla/arina1/682678.jpg,data/akykla/arina1,682678.jpg,0,0,167,285,533,285,366,at_least_48,800,533,face_scores/crops/data__akykla__arina1__682678__face_00__score_0.1535.jpg
8,0.1656033992767334,data/luxty_escort/group_152/g152_p2_photo_455@04-05-2026_21-41-07.jpg,data/luxty_escort/group_152,g152_p2_photo_455@04-05-2026_21-41-07.jpg,0,266,134,697,883,431,749,at_least_48,960,1280,face_scores/crops/data__luxty_escort__group_152__g152_p2_photo_455@04-05-2026_21-41-07__face_00__score_0.1656.jpg
9,0.1842118501663208,data/luxty_escort/group_089/g089_p3_photo_267@04-05-2026_21-38-32.jpg,data/luxty_escort/group_089,g089_p3_photo_267@04-05-2026_21-38-32.jpg,0,106,449,748,1212,642,763,at_least_48,748,1212,face_scores/crops/data__luxty_escort__group_089__g089_p3_photo_267@04-05-2026_21-38-32__face_00__score_0.1842.jpg
10,0.18479812145233154,data/luxty_escort/group_026/g026_p2_photo_77@04-05-2026_21-34-48.jpg,data/luxty_escort/group_026,g026_p2_photo_77@04-05-2026_21-34-48.jpg,0,272,769,700,1280,428,511,at_least_48,816,1280,face_scores/crops/data__luxty_escort__group_026__g026_p2_photo_77@04-05-2026_21-34-48__face_00__score_0.1848.jpg
