rank,score,source_path,source_dir,source_name,face_index,bbox_x1,bbox_y1,bbox_x2,bbox_y2,crop_width,crop_height,size_bucket,image_width,image_height,crop_path
1,0.6502583026885986,vk_user_photos/592517448/previous_avatar.jpg,vk_user_photos/592517448,previous_avatar.jpg,0,377,516,1197,1491,820,975,at_least_48,1920,2560,vk_face_scores/crops/vk_user_photos__592517448__previous_avatar__face_00__score_0.6503.jpg
2,0.6503965854644775,vk_user_photos/787225592/previous_avatar.jpg,vk_user_photos/787225592,previous_avatar.jpg,0,418,426,1270,1399,852,973,at_least_48,1958,2448,vk_face_scores/crops/vk_user_photos__787225592__previous_avatar__face_00__score_0.6504.jpg
3,0.6505952477455139,vk_user_photos/743938503/avatar.jpg,vk_user_photos/743938503,avatar.jpg,0,8,0,439,437,431,437,at_least_48,500,500,vk_face_scores/crops/vk_user_photos__743938503__avatar__face_00__score_0.6506.jpg
4,0.6510916948318481,vk_user_photos/144234681/avatar.jpg,vk_user_photos/144234681,avatar.jpg,0,333,0,1095,775,762,775,at_least_48,1339,1517,vk_face_scores/crops/vk_user_photos__144234681__avatar__face_00__score_0.6511.jpg
5,0.6511179208755493,vk_user_photos/573020429/avatar.jpg,vk_user_photos/573020429,avatar.jpg,0,107,17,291,287,184,270,at_least_48,479,600,vk_face_scores/crops/vk_user_photos__573020429__avatar__face_00__score_0.6511.jpg
6,0.6521705389022827,vk_user_photos/195518472/previous_avatar.jpg,vk_user_photos/195518472,previous_avatar.jpg,0,787,660,1061,1058,274,398,at_least_48,1396,2560,vk_face_scores/crops/vk_user_photos__195518472__previous_avatar__face_00__score_0.6522.jpg
7,0.6523717641830444,vk_user_photos/117160088/avatar.jpg,vk_user_photos/117160088,avatar.jpg,0,476,0,1218,745,742,745,at_least_48,2560,2560,vk_face_scores/crops/vk_user_photos__117160088__avatar__face_00__score_0.6524.jpg
8,0.6529334187507629,vk_user_photos/676828149/avatar.jpg,vk_user_photos/676828149,avatar.jpg,0,82,197,789,937,707,740,at_least_48,1114,1469,vk_face_scores/crops/vk_user_photos__676828149__avatar__face_00__score_0.6529.jpg
9,0.6530684232711792,vk_user_photos/239668245/avatar.jpg,vk_user_photos/239668245,avatar.jpg,0,865,237,1665,1074,800,837,at_least_48,2560,1725,vk_face_scores/crops/vk_user_photos__239668245__avatar__face_00__score_0.6531.jpg
10,0.654055118560791,vk_user_photos/124340286/previous_avatar.jpg,vk_user_photos/124340286,previous_avatar.jpg,0,755,364,1490,1267,735,903,at_least_48,1728,2160,vk_face_scores/crops/vk_user_photos__124340286__previous_avatar__face_00__score_0.6541.jpg
11,0.6540944576263428,vk_user_photos/440842136/previous_avatar.jpg,vk_user_photos/440842136,previous_avatar.jpg,0,0,0,700,812,700,812,at_least_48,1080,880,vk_face_scores/crops/vk_user_photos__440842136__previous_avatar__face_00__score_0.6541.jpg
12,0.6545294523239136,vk_user_photos/245081606/avatar.jpg,vk_user_photos/245081606,avatar.jpg,0,628,616,1428,1489,800,873,at_least_48,1920,2560,vk_face_scores/crops/vk_user_photos__245081606__avatar__face_00__score_0.6545.jpg
13,0.656570553779602,vk_user_photos/355876671/avatar.jpg,vk_user_photos/355876671,avatar.jpg,0,815,505,1060,774,245,269,at_least_48,2160,2160,vk_face_scores/crops/vk_user_photos__355876671__avatar__face_00__score_0.6566.jpg
