user_id,kind,photo_id,source_url,file_path,width,height,bytes
2617,avatar,457291064,"https://sun9-79.userapi.com/s/v1/ig2/iWniE3b0pO19HIVVgBRxTz-GeAqdD-m71BR7k57aFV6IQwVheijaeqUsCXE2cVWjFpaBoQuh5Ido6hX98wKTrQWW.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x319,360x479,480x639,540x718,640x852,720x958,1080x1437,1280x1703,1440x1916,1924x2560&from=bu&cs=1924x0",vk_user_photos/2617/avatar.jpg,1924,2560,2195489
2617,previous_avatar,457291124,"https://sun9-48.userapi.com/s/v1/ig2/Q7Ah7Si3_EUUAqciS2nfeyKcUn_4bRgJumvQ8benr5SKwL_HJzkdAf8sp7p6-OU6ryvwGoykqPOUfIECDjXNCXz2.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x854,720x960,896x1195&from=bu&cs=896x0",vk_user_photos/2617/previous_avatar.jpg,896,1195,550019
4574,avatar,412969897,"https://sun9-31.userapi.com/s/v1/ig1/DDiPGmBiQg-LcMz45n99O0C4g9FyoHKORuYA7Yl4moOSmqBpIMByBX_Pg7vyktlnHBV-1Q.jpg?quality=96&as=32x31,48x46,72x69,108x103,160x153,240x229,360x343,480x458,540x515,604x576&from=bu&cs=604x0",vk_user_photos/4574/avatar.jpg,604,576,105816
68927,avatar,456239132,"https://sun9-20.userapi.com/s/v1/ig2/D7z9s8oVeB_tD3WhC0vovZ0W1_LSkXD3PV3zVFHlgDnCjRhjpvnqvSE4dThhj_O2yyGh0E6sUQ3I9b14XrdMkLRf.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x479,480x639,540x719,640x852,720x959,961x1280&from=bu&cs=961x0",vk_user_photos/68927/avatar.jpg,961,1280,245970
68927,previous_avatar,456239036,"https://sun9-17.userapi.com/s/v1/ig2/GNWVDJ4yLW059fRIHrIXmJ-3Po4BWhqLmOf57WNJo5yCntke_3Xm0DNOURADI3o9sII_7RnmLH6MGoyjqr34mz8f.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1439,1280x1706,1440x1919,1460x1946&from=bu&cs=1460x0",vk_user_photos/68927/previous_avatar.jpg,1460,1946,506799
76348,avatar,457261784,"https://sun9-44.userapi.com/s/v1/ig2/5V6kKEZP4S0cS_FKdlpxIQdAgcBYY8ExdsZdrLNXcswd8AB7PWJqXfwM2mhcZXNuAm69lgQvlHzKJodqG5HoaZVH.jpg?quality=95&as=32x23,48x35,72x53,108x79,160x117,240x176,360x264,480x352,540x396,640x469,720x528,1080x792&from=bu&cs=1080x0",vk_user_photos/76348/avatar.jpg,1080,792,332284
76348,previous_avatar,457261028,"https://sun9-28.userapi.com/s/v1/ig2/t--ywFB9Dag_vW6hBrdH5pIbJPfBedjvv9FIfCfOHG0udCrhHIPniNNm6GF17r_lnXviB2HxLZ9gj4yhJc3C3W71.jpg?quality=95&as=32x57,48x85,72x128,108x192,160x284,240x427,360x640,480x853,540x960,640x1138,720x1280&from=bu&cs=720x0",vk_user_photos/76348/previous_avatar.jpg,720,1280,198748
294577,avatar,424111323,"https://sun9-24.userapi.com/s/v1/ig1/lEVk8jEw6pshKDYH6qZz6RiF0XuEBv8Vp7NrFK4o-EjQMDmhj8NccICu7B0y15e0rDsDqljB.jpg?quality=96&as=32x43,48x64,72x96,108x144,160x213,240x320,360x479,480x639,540x719,640x852,720x959,961x1280&from=bu&cs=961x0",vk_user_photos/294577/avatar.jpg,961,1280,99099
294577,previous_avatar,372271998,"https://sun9-82.userapi.com/s/v1/ig1/c-Rn8iq-nszhTcfecbstT5Xtb3HRIXCT0V3saFd-FUINHj30r_NrynjLMt_Y1Xw0RpRz1AZX.jpg?quality=96&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1081,1280x1281,1440x1441,2047x2048&from=bu&cs=2047x0",vk_user_photos/294577/previous_avatar.jpg,2047,2048,536405
455457,avatar,457239055,"https://sun9-31.userapi.com/s/v1/ig2/eeI28tmcQyH3MWNLNDkP0OnnjlZBMbzSWH9qinpgzct78Kd1cA_6dSQSGhFVhZot5Y9DOo4UIaPOfJ0Il0G3y4sb.jpg?quality=95&as=32x40,48x60,72x90,108x135,160x200,240x300,360x450,480x600,540x675,640x800,720x900,1024x1280&from=bu&cs=1024x0",vk_user_photos/455457/avatar.jpg,1024,1280,639976
455457,previous_avatar,457239125,"https://sun9-77.userapi.com/s/v1/ig2/_8y2J5O2eEcL0lji52DmHR58_0ikEKJdg-tSTslhqioD9HZrwUH5Ng52rFiWyyjmigUuTjwDXx2bqJQpPXeskOpG.jpg?quality=95&as=32x42,48x64,72x95,108x143,160x212,240x318,360x478,480x637,540x716,640x849,720x955,965x1280&from=bu&cs=965x0",vk_user_photos/455457/previous_avatar.jpg,965,1280,241781
476161,avatar,457247439,"https://sun9-18.userapi.com/s/v1/ig2/O-Cjli7OfSqAdLTnDwPs_bN1Ymq2qTjYw9195S6dzaZLX-wWwksjYdmbncrqn3Dq0rxPFx8z5mVVY8WeFMbDx-pF.jpg?quality=95&as=32x48,48x72,72x108,108x162,160x240,240x360,360x540,480x720,540x810,640x960,720x1080,1080x1620,1280x1920,1440x2160,1707x2560&from=bu&cs=1707x0",vk_user_photos/476161/avatar.jpg,1707,2560,1579212
476161,previous_avatar,457247161,"https://sun9-75.userapi.com/s/v1/ig2/coQnVKT9y3tg_AMkM3Fnc5kjQ5YKu1dOebpMDXfjjZoMOxoqdc3ptqMCsBHm2RJ1z4b-cNeR53o-XinpL0gOWYW6.jpg?quality=95&as=32x48,48x72,72x107,108x161,160x239,240x358,360x537,480x716,540x805,640x954,720x1073,1080x1610,1280x1908,1290x1923&from=bu&cs=1290x0",vk_user_photos/476161/previous_avatar.jpg,1290,1923,728746
1433342,avatar,457240579,"https://sun9-74.userapi.com/s/v1/ig1/JZoKehMGFLq5rEnwyokHKB2hEJYy4xssXO0_wvziDHxtPBBG-XJRE5ZF0cZyTcKqfPpv8rHm.jpg?quality=96&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x809,1280x959,1440x1079,2048x1535&from=bu&cs=2048x0",vk_user_photos/1433342/avatar.jpg,2048,1535,453659
1433342,previous_avatar,456240381,"https://sun9-63.userapi.com/s/v1/ig1/sEBGYVWJa2juOngOYSgnl7JA23Ee8csSZMLJetGr7JHdYFebQpPL7dtKunBcod69xwRoJu1f.jpg?quality=96&as=32x32,48x48,72x72,108x108,160x160,240x240,360x361,480x481,540x541,640x641,720x721,1080x1082,1280x1282,1440x1443,2044x2048&from=bu&cs=2044x0",vk_user_photos/1433342/previous_avatar.jpg,2044,2048,661312
1720126,avatar,457240789,"https://sun9-10.userapi.com/s/v1/ig2/ZGn11qAlUCaYgHLA_u2ctZEQkTICfcphAeDBOi3G7cubAfjLXWO4JyoNG3ND7h0MSMlxSdxF2eAD56QzJ0KhuvZ2.jpg?quality=95&as=32x57,48x85,72x128,108x192,160x285,240x427,360x640,480x854,540x960,640x1138,720x1281,736x1309&from=bu&cs=736x0",vk_user_photos/1720126/avatar.jpg,736,1309,444683
